@relation yprop_4_1_splits

@attribute type {TRAIN,TEST}
@attribute rowid numeric
@attribute repeat numeric
@attribute fold numeric

@data
TRAIN,2315,0,0
TRAIN,5935,0,0
TRAIN,795,0,0
TRAIN,1334,0,0
TRAIN,7096,0,0
TRAIN,4928,0,0
TRAIN,2706,0,0
TRAIN,21,0,0
TRAIN,3564,0,0
TRAIN,6920,0,0
TRAIN,7163,0,0
TRAIN,2864,0,0
TRAIN,2608,0,0
TRAIN,4212,0,0
TRAIN,3126,0,0
TRAIN,5041,0,0
TRAIN,5464,0,0
TRAIN,3688,0,0
TRAIN,5277,0,0
TRAIN,4238,0,0
TRAIN,3506,0,0
TRAIN,1133,0,0
TRAIN,6224,0,0
TRAIN,2956,0,0
TRAIN,1855,0,0
TRAIN,307,0,0
TRAIN,8390,0,0
TRAIN,5035,0,0
TRAIN,8741,0,0
TRAIN,4771,0,0
TRAIN,5999,0,0
TRAIN,4981,0,0
TRAIN,6651,0,0
TRAIN,6387,0,0
TRAIN,5866,0,0
TRAIN,1621,0,0
TRAIN,2582,0,0
TRAIN,2071,0,0
TRAIN,3327,0,0
TRAIN,7914,0,0
TRAIN,3034,0,0
TRAIN,1637,0,0
TRAIN,8570,0,0
TRAIN,7274,0,0
TRAIN,7113,0,0
TRAIN,4932,0,0
TRAIN,947,0,0
TRAIN,4156,0,0
TRAIN,3317,0,0
TRAIN,5584,0,0
TRAIN,5505,0,0
TRAIN,1667,0,0
TRAIN,1307,0,0
TRAIN,6542,0,0
TRAIN,7624,0,0
TRAIN,8653,0,0
TRAIN,303,0,0
TRAIN,8556,0,0
TRAIN,4674,0,0
TRAIN,2283,0,0
TRAIN,4926,0,0
TRAIN,5034,0,0
TRAIN,5815,0,0
TRAIN,3082,0,0
TRAIN,2509,0,0
TRAIN,7678,0,0
TRAIN,3615,0,0
TRAIN,479,0,0
TRAIN,5340,0,0
TRAIN,7284,0,0
TRAIN,4216,0,0
TRAIN,4384,0,0
TRAIN,6433,0,0
TRAIN,2295,0,0
TRAIN,7938,0,0
TRAIN,2018,0,0
TRAIN,8821,0,0
TRAIN,5659,0,0
TRAIN,6643,0,0
TRAIN,5273,0,0
TRAIN,54,0,0
TRAIN,6278,0,0
TRAIN,5115,0,0
TRAIN,6974,0,0
TRAIN,1711,0,0
TRAIN,4774,0,0
TRAIN,5850,0,0
TRAIN,4121,0,0
TRAIN,5851,0,0
TRAIN,7426,0,0
TRAIN,2581,0,0
TRAIN,3619,0,0
TRAIN,7766,0,0
TRAIN,6810,0,0
TRAIN,6509,0,0
TRAIN,5595,0,0
TRAIN,7707,0,0
TRAIN,5226,0,0
TRAIN,1124,0,0
TRAIN,3690,0,0
TRAIN,5908,0,0
TRAIN,5236,0,0
TRAIN,2568,0,0
TRAIN,2021,0,0
TRAIN,226,0,0
TRAIN,8608,0,0
TRAIN,6960,0,0
TRAIN,2825,0,0
TRAIN,5771,0,0
TRAIN,6633,0,0
TRAIN,6159,0,0
TRAIN,2597,0,0
TRAIN,7564,0,0
TRAIN,5078,0,0
TRAIN,701,0,0
TRAIN,8387,0,0
TRAIN,198,0,0
TRAIN,3822,0,0
TRAIN,5451,0,0
TRAIN,3827,0,0
TRAIN,5750,0,0
TRAIN,3160,0,0
TRAIN,4577,0,0
TRAIN,8586,0,0
TRAIN,2651,0,0
TRAIN,4957,0,0
TRAIN,5096,0,0
TRAIN,4920,0,0
TRAIN,4126,0,0
TRAIN,4517,0,0
TRAIN,764,0,0
TRAIN,3470,0,0
TRAIN,6414,0,0
TRAIN,1555,0,0
TRAIN,7751,0,0
TRAIN,7700,0,0
TRAIN,5571,0,0
TRAIN,809,0,0
TRAIN,8758,0,0
TRAIN,4554,0,0
TRAIN,5964,0,0
TRAIN,1722,0,0
TRAIN,1518,0,0
TRAIN,6502,0,0
TRAIN,8187,0,0
TRAIN,7780,0,0
TRAIN,3634,0,0
TRAIN,587,0,0
TRAIN,4988,0,0
TRAIN,26,0,0
TRAIN,1423,0,0
TRAIN,2902,0,0
TRAIN,2207,0,0
TRAIN,2842,0,0
TRAIN,1320,0,0
TRAIN,2352,0,0
TRAIN,7909,0,0
TRAIN,306,0,0
TRAIN,3077,0,0
TRAIN,3232,0,0
TRAIN,5475,0,0
TRAIN,6340,0,0
TRAIN,2035,0,0
TRAIN,6898,0,0
TRAIN,3697,0,0
TRAIN,1733,0,0
TRAIN,6814,0,0
TRAIN,2379,0,0
TRAIN,2371,0,0
TRAIN,3799,0,0
TRAIN,3652,0,0
TRAIN,8012,0,0
TRAIN,1194,0,0
TRAIN,6812,0,0
TRAIN,511,0,0
TRAIN,7630,0,0
TRAIN,8814,0,0
TRAIN,6472,0,0
TRAIN,7930,0,0
TRAIN,350,0,0
TRAIN,7530,0,0
TRAIN,1571,0,0
TRAIN,8307,0,0
TRAIN,1010,0,0
TRAIN,5949,0,0
TRAIN,3479,0,0
TRAIN,8080,0,0
TRAIN,8337,0,0
TRAIN,5228,0,0
TRAIN,1537,0,0
TRAIN,2025,0,0
TRAIN,2248,0,0
TRAIN,268,0,0
TRAIN,2043,0,0
TRAIN,3667,0,0
TRAIN,6193,0,0
TRAIN,1,0,0
TRAIN,1020,0,0
TRAIN,7105,0,0
TRAIN,4285,0,0
TRAIN,2828,0,0
TRAIN,1440,0,0
TRAIN,2585,0,0
TRAIN,5647,0,0
TRAIN,7005,0,0
TRAIN,5785,0,0
TRAIN,7456,0,0
TRAIN,4478,0,0
TRAIN,843,0,0
TRAIN,4777,0,0
TRAIN,6609,0,0
TRAIN,8094,0,0
TRAIN,8872,0,0
TRAIN,6624,0,0
TRAIN,2720,0,0
TRAIN,2858,0,0
TRAIN,2577,0,0
TRAIN,5362,0,0
TRAIN,7361,0,0
TRAIN,6998,0,0
TRAIN,8517,0,0
TRAIN,5956,0,0
TRAIN,3161,0,0
TRAIN,964,0,0
TRAIN,4510,0,0
TRAIN,1556,0,0
TRAIN,7489,0,0
TRAIN,5682,0,0
TRAIN,2591,0,0
TRAIN,4109,0,0
TRAIN,5404,0,0
TRAIN,5200,0,0
TRAIN,6327,0,0
TRAIN,3333,0,0
TRAIN,6539,0,0
TRAIN,2908,0,0
TRAIN,4707,0,0
TRAIN,6563,0,0
TRAIN,5363,0,0
TRAIN,7449,0,0
TRAIN,3364,0,0
TRAIN,6031,0,0
TRAIN,3568,0,0
TRAIN,5271,0,0
TRAIN,8794,0,0
TRAIN,3781,0,0
TRAIN,333,0,0
TRAIN,7605,0,0
TRAIN,1920,0,0
TRAIN,4033,0,0
TRAIN,1323,0,0
TRAIN,3241,0,0
TRAIN,1304,0,0
TRAIN,7523,0,0
TRAIN,2960,0,0
TRAIN,2852,0,0
TRAIN,5074,0,0
TRAIN,4115,0,0
TRAIN,233,0,0
TRAIN,901,0,0
TRAIN,5590,0,0
TRAIN,5832,0,0
TRAIN,5695,0,0
TRAIN,3965,0,0
TRAIN,7329,0,0
TRAIN,930,0,0
TRAIN,7230,0,0
TRAIN,4046,0,0
TRAIN,906,0,0
TRAIN,8638,0,0
TRAIN,1507,0,0
TRAIN,8784,0,0
TRAIN,2730,0,0
TRAIN,5725,0,0
TRAIN,5545,0,0
TRAIN,6336,0,0
TRAIN,7222,0,0
TRAIN,5800,0,0
TRAIN,3210,0,0
TRAIN,6847,0,0
TRAIN,2314,0,0
TRAIN,183,0,0
TRAIN,8534,0,0
TRAIN,3982,0,0
TRAIN,7858,0,0
TRAIN,4850,0,0
TRAIN,4802,0,0
TRAIN,1217,0,0
TRAIN,331,0,0
TRAIN,4669,0,0
TRAIN,8610,0,0
TRAIN,3440,0,0
TRAIN,3158,0,0
TRAIN,7300,0,0
TRAIN,1984,0,0
TRAIN,3094,0,0
TRAIN,679,0,0
TRAIN,6141,0,0
TRAIN,5232,0,0
TRAIN,8598,0,0
TRAIN,6885,0,0
TRAIN,5455,0,0
TRAIN,5959,0,0
TRAIN,5290,0,0
TRAIN,8301,0,0
TRAIN,8346,0,0
TRAIN,5955,0,0
TRAIN,3456,0,0
TRAIN,3265,0,0
TRAIN,7727,0,0
TRAIN,5816,0,0
TRAIN,5192,0,0
TRAIN,4520,0,0
TRAIN,354,0,0
TRAIN,6900,0,0
TRAIN,3420,0,0
TRAIN,3968,0,0
TRAIN,3355,0,0
TRAIN,1198,0,0
TRAIN,8704,0,0
TRAIN,81,0,0
TRAIN,6749,0,0
TRAIN,1938,0,0
TRAIN,4095,0,0
TRAIN,1553,0,0
TRAIN,2704,0,0
TRAIN,2181,0,0
TRAIN,8443,0,0
TRAIN,6704,0,0
TRAIN,2153,0,0
TRAIN,5358,0,0
TRAIN,7001,0,0
TRAIN,2418,0,0
TRAIN,6383,0,0
TRAIN,1623,0,0
TRAIN,7106,0,0
TRAIN,7680,0,0
TRAIN,3644,0,0
TRAIN,1118,0,0
TRAIN,605,0,0
TRAIN,3070,0,0
TRAIN,7380,0,0
TRAIN,1303,0,0
TRAIN,8632,0,0
TRAIN,7220,0,0
TRAIN,211,0,0
TRAIN,1395,0,0
TRAIN,1041,0,0
TRAIN,5940,0,0
TRAIN,2522,0,0
TRAIN,2273,0,0
TRAIN,7400,0,0
TRAIN,1126,0,0
TRAIN,1276,0,0
TRAIN,6818,0,0
TRAIN,521,0,0
TRAIN,1403,0,0
TRAIN,2219,0,0
TRAIN,8815,0,0
TRAIN,7685,0,0
TRAIN,4896,0,0
TRAIN,7354,0,0
TRAIN,4127,0,0
TRAIN,3712,0,0
TRAIN,1575,0,0
TRAIN,3548,0,0
TRAIN,8854,0,0
TRAIN,1914,0,0
TRAIN,582,0,0
TRAIN,2085,0,0
TRAIN,5633,0,0
TRAIN,5222,0,0
TRAIN,7596,0,0
TRAIN,7080,0,0
TRAIN,4752,0,0
TRAIN,7582,0,0
TRAIN,6083,0,0
TRAIN,6076,0,0
TRAIN,2759,0,0
TRAIN,3069,0,0
TRAIN,7334,0,0
TRAIN,3513,0,0
TRAIN,996,0,0
TRAIN,2573,0,0
TRAIN,1826,0,0
TRAIN,669,0,0
TRAIN,612,0,0
TRAIN,5848,0,0
TRAIN,796,0,0
TRAIN,5154,0,0
TRAIN,507,0,0
TRAIN,3745,0,0
TRAIN,8131,0,0
TRAIN,5339,0,0
TRAIN,5766,0,0
TRAIN,2635,0,0
TRAIN,7444,0,0
TRAIN,8767,0,0
TRAIN,1229,0,0
TRAIN,4614,0,0
TRAIN,6276,0,0
TRAIN,1184,0,0
TRAIN,1873,0,0
TRAIN,3808,0,0
TRAIN,159,0,0
TRAIN,2713,0,0
TRAIN,2066,0,0
TRAIN,2633,0,0
TRAIN,2007,0,0
TRAIN,3102,0,0
TRAIN,5552,0,0
TRAIN,5502,0,0
TRAIN,3409,0,0
TRAIN,2486,0,0
TRAIN,3735,0,0
TRAIN,1117,0,0
TRAIN,2942,0,0
TRAIN,2853,0,0
TRAIN,1590,0,0
TRAIN,3438,0,0
TRAIN,4339,0,0
TRAIN,1284,0,0
TRAIN,4207,0,0
TRAIN,4283,0,0
TRAIN,8119,0,0
TRAIN,912,0,0
TRAIN,1946,0,0
TRAIN,1112,0,0
TRAIN,2209,0,0
TRAIN,209,0,0
TRAIN,1343,0,0
TRAIN,5039,0,0
TRAIN,7978,0,0
TRAIN,5899,0,0
TRAIN,1613,0,0
TRAIN,237,0,0
TRAIN,1770,0,0
TRAIN,3316,0,0
TRAIN,5921,0,0
TRAIN,1135,0,0
TRAIN,2084,0,0
TRAIN,3803,0,0
TRAIN,1588,0,0
TRAIN,4844,0,0
TRAIN,4931,0,0
TRAIN,2409,0,0
TRAIN,920,0,0
TRAIN,4765,0,0
TRAIN,5450,0,0
TRAIN,7684,0,0
TRAIN,3582,0,0
TRAIN,2148,0,0
TRAIN,1646,0,0
TRAIN,1557,0,0
TRAIN,868,0,0
TRAIN,8159,0,0
TRAIN,596,0,0
TRAIN,2854,0,0
TRAIN,3503,0,0
TRAIN,7466,0,0
TRAIN,4314,0,0
TRAIN,2557,0,0
TRAIN,6946,0,0
TRAIN,4343,0,0
TRAIN,3378,0,0
TRAIN,7633,0,0
TRAIN,8374,0,0
TRAIN,4022,0,0
TRAIN,4142,0,0
TRAIN,5166,0,0
TRAIN,6679,0,0
TRAIN,150,0,0
TRAIN,7773,0,0
TRAIN,3858,0,0
TRAIN,6021,0,0
TRAIN,3773,0,0
TRAIN,3424,0,0
TRAIN,2660,0,0
TRAIN,7445,0,0
TRAIN,522,0,0
TRAIN,7795,0,0
TRAIN,6205,0,0
TRAIN,8589,0,0
TRAIN,4357,0,0
TRAIN,8354,0,0
TRAIN,297,0,0
TRAIN,1834,0,0
TRAIN,6298,0,0
TRAIN,786,0,0
TRAIN,5119,0,0
TRAIN,2813,0,0
TRAIN,2488,0,0
TRAIN,2840,0,0
TRAIN,1475,0,0
TRAIN,3240,0,0
TRAIN,7402,0,0
TRAIN,6293,0,0
TRAIN,734,0,0
TRAIN,5377,0,0
TRAIN,6663,0,0
TRAIN,907,0,0
TRAIN,6215,0,0
TRAIN,272,0,0
TRAIN,886,0,0
TRAIN,7666,0,0
TRAIN,985,0,0
TRAIN,3326,0,0
TRAIN,8739,0,0
TRAIN,8800,0,0
TRAIN,8781,0,0
TRAIN,5448,0,0
TRAIN,4458,0,0
TRAIN,5891,0,0
TRAIN,381,0,0
TRAIN,7094,0,0
TRAIN,4162,0,0
TRAIN,2629,0,0
TRAIN,2308,0,0
TRAIN,7143,0,0
TRAIN,5307,0,0
TRAIN,1434,0,0
TRAIN,6674,0,0
TRAIN,1413,0,0
TRAIN,646,0,0
TRAIN,8150,0,0
TRAIN,7013,0,0
TRAIN,5240,0,0
TRAIN,5338,0,0
TRAIN,4601,0,0
TRAIN,6986,0,0
TRAIN,6797,0,0
TRAIN,466,0,0
TRAIN,7881,0,0
TRAIN,78,0,0
TRAIN,6318,0,0
TRAIN,4477,0,0
TRAIN,4014,0,0
TRAIN,3732,0,0
TRAIN,5839,0,0
TRAIN,3876,0,0
TRAIN,6988,0,0
TRAIN,7557,0,0
TRAIN,1776,0,0
TRAIN,6323,0,0
TRAIN,2778,0,0
TRAIN,7949,0,0
TRAIN,4550,0,0
TRAIN,7499,0,0
TRAIN,1889,0,0
TRAIN,2841,0,0
TRAIN,2336,0,0
TRAIN,8419,0,0
TRAIN,7376,0,0
TRAIN,8104,0,0
TRAIN,7210,0,0
TRAIN,7817,0,0
TRAIN,6249,0,0
TRAIN,1584,0,0
TRAIN,7323,0,0
TRAIN,6604,0,0
TRAIN,1812,0,0
TRAIN,463,0,0
TRAIN,8569,0,0
TRAIN,6883,0,0
TRAIN,5139,0,0
TRAIN,1183,0,0
TRAIN,1249,0,0
TRAIN,6286,0,0
TRAIN,105,0,0
TRAIN,5960,0,0
TRAIN,3967,0,0
TRAIN,8692,0,0
TRAIN,4139,0,0
TRAIN,4702,0,0
TRAIN,1785,0,0
TRAIN,6731,0,0
TRAIN,3416,0,0
TRAIN,4984,0,0
TRAIN,101,0,0
TRAIN,3133,0,0
TRAIN,2255,0,0
TRAIN,3578,0,0
TRAIN,8824,0,0
TRAIN,2305,0,0
TRAIN,6967,0,0
TRAIN,7956,0,0
TRAIN,1650,0,0
TRAIN,3584,0,0
TRAIN,3182,0,0
TRAIN,5561,0,0
TRAIN,1972,0,0
TRAIN,8647,0,0
TRAIN,858,0,0
TRAIN,1641,0,0
TRAIN,8848,0,0
TRAIN,3091,0,0
TRAIN,772,0,0
TRAIN,1156,0,0
TRAIN,6471,0,0
TRAIN,2381,0,0
TRAIN,8029,0,0
TRAIN,4210,0,0
TRAIN,4813,0,0
TRAIN,8776,0,0
TRAIN,6630,0,0
TRAIN,3194,0,0
TRAIN,6508,0,0
TRAIN,8544,0,0
TRAIN,7767,0,0
TRAIN,8543,0,0
TRAIN,5235,0,0
TRAIN,3181,0,0
TRAIN,73,0,0
TRAIN,6288,0,0
TRAIN,1192,0,0
TRAIN,7438,0,0
TRAIN,2313,0,0
TRAIN,2958,0,0
TRAIN,7122,0,0
TRAIN,7737,0,0
TRAIN,2468,0,0
TRAIN,336,0,0
TRAIN,7886,0,0
TRAIN,8461,0,0
TRAIN,1898,0,0
TRAIN,3129,0,0
TRAIN,6059,0,0
TRAIN,4690,0,0
TRAIN,3367,0,0
TRAIN,8860,0,0
TRAIN,5088,0,0
TRAIN,7827,0,0
TRAIN,3423,0,0
TRAIN,8399,0,0
TRAIN,361,0,0
TRAIN,1566,0,0
TRAIN,5744,0,0
TRAIN,2679,0,0
TRAIN,8481,0,0
TRAIN,4181,0,0
TRAIN,1449,0,0
TRAIN,7358,0,0
TRAIN,968,0,0
TRAIN,2182,0,0
TRAIN,5456,0,0
TRAIN,5976,0,0
TRAIN,1902,0,0
TRAIN,5882,0,0
TRAIN,366,0,0
TRAIN,3521,0,0
TRAIN,7755,0,0
TRAIN,4923,0,0
TRAIN,8195,0,0
TRAIN,2091,0,0
TRAIN,902,0,0
TRAIN,141,0,0
TRAIN,5089,0,0
TRAIN,444,0,0
TRAIN,271,0,0
TRAIN,1814,0,0
TRAIN,38,0,0
TRAIN,30,0,0
TRAIN,8426,0,0
TRAIN,8538,0,0
TRAIN,5767,0,0
TRAIN,2294,0,0
TRAIN,8270,0,0
TRAIN,3468,0,0
TRAIN,7342,0,0
TRAIN,1008,0,0
TRAIN,3099,0,0
TRAIN,4540,0,0
TRAIN,7093,0,0
TRAIN,1624,0,0
TRAIN,3590,0,0
TRAIN,6845,0,0
TRAIN,5829,0,0
TRAIN,1925,0,0
TRAIN,5395,0,0
TRAIN,7841,0,0
TRAIN,6265,0,0
TRAIN,6324,0,0
TRAIN,4861,0,0
TRAIN,3797,0,0
TRAIN,4671,0,0
TRAIN,3019,0,0
TRAIN,5463,0,0
TRAIN,1975,0,0
TRAIN,8251,0,0
TRAIN,653,0,0
TRAIN,426,0,0
TRAIN,1163,0,0
TRAIN,8033,0,0
TRAIN,5147,0,0
TRAIN,8285,0,0
TRAIN,6620,0,0
TRAIN,5453,0,0
TRAIN,3197,0,0
TRAIN,876,0,0
TRAIN,8327,0,0
TRAIN,8594,0,0
TRAIN,5144,0,0
TRAIN,5151,0,0
TRAIN,4531,0,0
TRAIN,52,0,0
TRAIN,5772,0,0
TRAIN,3089,0,0
TRAIN,7778,0,0
TRAIN,3390,0,0
TRAIN,3236,0,0
TRAIN,506,0,0
TRAIN,449,0,0
TRAIN,3114,0,0
TRAIN,422,0,0
TRAIN,1904,0,0
TRAIN,6105,0,0
TRAIN,2920,0,0
TRAIN,6753,0,0
TRAIN,7731,0,0
TRAIN,1844,0,0
TRAIN,2772,0,0
TRAIN,673,0,0
TRAIN,214,0,0
TRAIN,4161,0,0
TRAIN,8381,0,0
TRAIN,7851,0,0
TRAIN,5860,0,0
TRAIN,3190,0,0
TRAIN,8181,0,0
TRAIN,3235,0,0
TRAIN,4698,0,0
TRAIN,4312,0,0
TRAIN,526,0,0
TRAIN,206,0,0
TRAIN,2993,0,0
TRAIN,3646,0,0
TRAIN,4810,0,0
TRAIN,2461,0,0
TRAIN,725,0,0
TRAIN,1425,0,0
TRAIN,4626,0,0
TRAIN,8699,0,0
TRAIN,4559,0,0
TRAIN,7477,0,0
TRAIN,6355,0,0
TRAIN,762,0,0
TRAIN,2341,0,0
TRAIN,6448,0,0
TRAIN,6934,0,0
TRAIN,2477,0,0
TRAIN,5023,0,0
TRAIN,1017,0,0
TRAIN,758,0,0
TRAIN,8343,0,0
TRAIN,570,0,0
TRAIN,6843,0,0
TRAIN,6177,0,0
TRAIN,6655,0,0
TRAIN,6378,0,0
TRAIN,975,0,0
TRAIN,203,0,0
TRAIN,5842,0,0
TRAIN,3319,0,0
TRAIN,2437,0,0
TRAIN,3472,0,0
TRAIN,8785,0,0
TRAIN,2719,0,0
TRAIN,4406,0,0
TRAIN,2765,0,0
TRAIN,6677,0,0
TRAIN,2392,0,0
TRAIN,3231,0,0
TRAIN,1859,0,0
TRAIN,2984,0,0
TRAIN,8112,0,0
TRAIN,6675,0,0
TRAIN,6835,0,0
TRAIN,3383,0,0
TRAIN,6201,0,0
TRAIN,5801,0,0
TRAIN,5185,0,0
TRAIN,2128,0,0
TRAIN,1945,0,0
TRAIN,647,0,0
TRAIN,869,0,0
TRAIN,488,0,0
TRAIN,8856,0,0
TRAIN,7228,0,0
TRAIN,4526,0,0
TRAIN,2542,0,0
TRAIN,1140,0,0
TRAIN,5629,0,0
TRAIN,8292,0,0
TRAIN,639,0,0
TRAIN,3061,0,0
TRAIN,242,0,0
TRAIN,5739,0,0
TRAIN,6272,0,0
TRAIN,3581,0,0
TRAIN,180,0,0
TRAIN,7864,0,0
TRAIN,775,0,0
TRAIN,3812,0,0
TRAIN,3769,0,0
TRAIN,6061,0,0
TRAIN,6175,0,0
TRAIN,1447,0,0
TRAIN,2732,0,0
TRAIN,6736,0,0
TRAIN,1749,0,0
TRAIN,176,0,0
TRAIN,7140,0,0
TRAIN,497,0,0
TRAIN,3843,0,0
TRAIN,4493,0,0
TRAIN,750,0,0
TRAIN,5371,0,0
TRAIN,1675,0,0
TRAIN,7190,0,0
TRAIN,104,0,0
TRAIN,1653,0,0
TRAIN,1468,0,0
TRAIN,380,0,0
TRAIN,1294,0,0
TRAIN,8744,0,0
TRAIN,1216,0,0
TRAIN,2364,0,0
TRAIN,2006,0,0
TRAIN,4835,0,0
TRAIN,615,0,0
TRAIN,5589,0,0
TRAIN,3060,0,0
TRAIN,7246,0,0
TRAIN,4446,0,0
TRAIN,5600,0,0
TRAIN,5543,0,0
TRAIN,4305,0,0
TRAIN,5108,0,0
TRAIN,0,0,0
TRAIN,7328,0,0
TRAIN,4685,0,0
TRAIN,2927,0,0
TRAIN,3995,0,0
TRAIN,3869,0,0
TRAIN,2039,0,0
TRAIN,741,0,0
TRAIN,352,0,0
TRAIN,1782,0,0
TRAIN,7708,0,0
TRAIN,3598,0,0
TRAIN,5049,0,0
TRAIN,2788,0,0
TRAIN,2309,0,0
TRAIN,4059,0,0
TRAIN,6779,0,0
TRAIN,1097,0,0
TRAIN,3184,0,0
TRAIN,5045,0,0
TRAIN,2621,0,0
TRAIN,1581,0,0
TRAIN,6207,0,0
TRAIN,7169,0,0
TRAIN,4054,0,0
TRAIN,7148,0,0
TRAIN,4170,0,0
TRAIN,8016,0,0
TRAIN,2537,0,0
TRAIN,6591,0,0
TRAIN,4989,0,0
TRAIN,5984,0,0
TRAIN,4023,0,0
TRAIN,4621,0,0
TRAIN,7692,0,0
TRAIN,4947,0,0
TRAIN,2888,0,0
TRAIN,8254,0,0
TRAIN,2161,0,0
TRAIN,963,0,0
TRAIN,1270,0,0
TRAIN,475,0,0
TRAIN,3303,0,0
TRAIN,2139,0,0
TRAIN,3085,0,0
TRAIN,498,0,0
TRAIN,6533,0,0
TRAIN,7009,0,0
TRAIN,3816,0,0
TRAIN,5992,0,0
